Ranking,Country,Regional indicator,Happiness score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Year,Country_Standardized,Region_Standardized
82,Greece,Middle East and North Africa,5.2867,7.01463,0.71213,76,0.10625,0.0,0.07604,2019,Greece,Southern Europe
83,Mongolia,East Asia,5.2854,5.62809,0.94271,70,0.50144,0.41571,0.08387,2019,Mongolia,Eastern Asia
84,Macedonia,Central and Eastern Europe,5.2736,5.83769,0.79692,73,0.5463,0.32656,0.07501,2019,North Macedonia,Southern Europe
85,Nigeria,Sub-Saharan Africa,5.2646,4.1353,0.68429,62,0.67486,0.38055,0.09018,2019,Nigeria,Western Africa
86,Kyrgyzstan,Commonwealth of Independent States,5.2607,3.26924,0.88558,71,0.80438,0.53031,0.05025,2019,Kyrgyzstan,Central Asia
87,Turkmenistan,Commonwealth of Independent States,5.2467,6.24402,0.94744,70,0.62493,0.43133,0.06129,2019,Turkmenistan,Central Asia
88,Algeria,Middle East and North Africa,5.2113,5.94691,0.7142,72,0.1355,0.12838,0.25277,2019,Algeria,Northern Africa
89,Morocco,Middle East and North Africa,5.2081,4.75742,0.48163,72,0.66156,0.06292,0.16807,2019,Morocco,Northern Africa
90,Azerbaijan,Commonwealth of Independent States,5.2077,6.19207,0.70664,72,0.55679,0.06269,0.40235,2019,Azerbaijan,Western Asia
91,Lebanon,Middle East and North Africa,5.1973,5.86005,0.75397,73,0.34181,0.2935,0.06047,2019,Lebanon,Western Asia
92,Indonesia,Southeast Asia,5.1924,5.52577,0.74068,70,0.77722,0.88037,0.06293,2019,Indonesia,South-eastern Asia
93,China,East Asia,5.1909,6.1072,0.69274,74,0.82563,0.10213,0.22006,2019,China,Eastern Asia
94,Vietnam,Southeast Asia,5.1753,4.39867,0.82913,73,0.85989,0.26057,0.16179,2019,Vietnam,South-eastern Asia
95,Bhutan,South Asia,5.0821,4.82921,0.81345,69,0.72324,0.65477,0.36937,2019,Bhutan,Southern Asia
96,Cameroon,Sub-Saharan Africa,5.0437,3.25968,0.56053,64,0.60354,0.33027,0.08126,2019,Cameroon,Middle Africa
97,Bulgaria,Central and Eastern Europe,5.011,6.4813,0.93211,73,0.49234,0.14269,0.00963,2019,Bulgaria,Eastern Europe
98,Ghana,Sub-Saharan Africa,4.9963,3.63001,0.53458,67,0.60278,0.43227,0.08735,2019,Ghana,Western Africa
99,Ivory Coast,Sub-Saharan Africa,4.9438,3.38023,0.49734,62,0.55737,0.27201,0.19965,2019,Côte d'Ivoire,Western Africa
100,Nepal,South Asia,4.9127,2.64596,0.75482,70,0.69592,0.50315,0.19689,2019,Nepal,Southern Asia
101,Jordan,Middle East and North Africa,4.9057,4.97014,0.75424,73,0.60687,0.19416,0.28725,2019,Jordan,Western Asia
102,Benin,Sub-Saharan Africa,4.8832,2.33522,0.26943,65,0.55357,0.30998,0.18011,2019,Benin,Western Africa
103,Congo (Brazzaville),Sub-Saharan Africa,4.8115,3.99414,0.49202,67,0.58905,0.18547,0.20466,2019,Congo Republic,Middle Africa
104,Gabon,Sub-Saharan Africa,4.7992,6.27431,0.72853,68,0.46681,0.07572,0.12067,2019,Gabon,Middle Africa
105,Laos,Sub-Saharan Africa,4.7963,4.5378,0.63459,68,0.86703,0.47048,0.36288,2019,Laos,South-eastern Asia
106,South Africa,Sub-Saharan Africa,4.7222,5.6985,0.83188,66,0.61682,0.22973,0.1209,2019,South Africa,Southern Africa
107,Albania,Central and Eastern Europe,4.7186,5.6238,0.52208,74,0.60727,0.31487,0.05983,2019,Albania,Southern Europe
108,Venezuela,Latin America and Caribbean,4.7066,5.69744,0.87893,73,0.24332,0.11348,0.10445,2019,Venezuela,South America
109,Cambodia,Southeast Asia,4.6998,3.40725,0.69131,69,0.9643,0.40945,0.13605,2019,Cambodia,South-eastern Asia
110,Palestinian Territories,Middle East and North Africa,4.6963,3.89877,0.76805,70,0.35633,0.18183,0.14619,2019,Palestine,Western Asia
111,Senegal,Sub-Saharan Africa,4.6811,2.67179,0.69857,68,0.46206,0.27053,0.15857,2019,Senegal,Western Africa
112,Somalia,Sub-Saharan Africa,4.6679,0.0,0.42977,63,0.88607,0.42957,0.59754,2019,Somalia,Eastern Africa
113,Namibia,Sub-Saharan Africa,4.6392,5.21667,0.80855,66,0.63509,0.12383,0.1242,2019,Namibia,Southern Africa
114,Niger,Sub-Saharan Africa,4.6275,0.81981,0.47646,64,0.50436,0.33213,0.22608,2019,Niger,Western Africa
115,Burkina Faso,Sub-Saharan Africa,4.5868,1.96485,0.65033,65,0.40323,0.31338,0.25001,2019,Burkina Faso,Western Africa
116,Armenia,Commonwealth of Independent States,4.5594,5.04787,0.64973,73,0.44773,0.16795,0.14093,2019,Armenia,Western Asia
117,Iran,Middle East and North Africa,4.548,6.53147,0.51862,72,0.483,0.47686,0.27606,2019,Iran,Southern Asia
118,Guinea,Sub-Saharan Africa,4.5344,2.25548,0.51041,65,0.52656,0.36503,0.1907,2019,Guinea,Western Africa
119,Georgia,Commonwealth of Independent States,4.5191,5.26021,0.40997,72,0.54832,0.07627,0.36187,2019,Georgia,Western Asia
120,Gambia,,4.5163,1.82777,0.57836,66,0.60555,0.47478,0.3692,2019,Gambia,Western Africa
121,Kenya,Sub-Saharan Africa,4.5086,3.03814,0.60546,68,0.68221,0.65814,0.11817,2019,Kenya,Eastern Africa
122,Mauritania,Middle East and North Africa,4.4903,3.38244,0.71889,67,0.1042,0.1866,0.19474,2019,Mauritania,Western Africa
123,Mozambique,Sub-Saharan Africa,4.4662,1.20922,0.60707,65,0.78218,0.34878,0.30432,2019,Mozambique,Eastern Africa
124,Tunisia,Middle East and North Africa,4.4606,5.46875,0.61585,73,0.26453,0.1039,0.12122,2019,Tunisia,Northern Africa
125,Bangladesh,South Asia,4.4558,3.33871,0.5717,71,0.83548,0.29298,0.31678,2019,Bangladesh,Southern Asia
126,Iraq,Middle East and North Africa,4.4372,6.19404,0.60346,68,0.38121,0.26171,0.19635,2019,Iraq,Western Asia
127,Congo (Kinshasa),Sub-Saharan Africa,4.4181,0.55863,0.69278,64,0.42539,0.37546,0.11762,2019,DR Congo,Middle Africa
128,Mali,Sub-Saharan Africa,4.3904,2.28528,0.68039,63,0.51852,0.27052,0.11474,2019,Mali,Western Africa
129,Sierra Leone,Sub-Saharan Africa,4.3742,1.59292,0.51807,62,0.48972,0.4458,0.09945,2019,Sierra Leone,Western Africa
130,Sri Lanka,South Asia,4.3659,5.63751,0.77902,73,0.74517,0.43111,0.10278,2019,Sri Lanka,Southern Asia
131,Myanmar,Southeast Asia,4.3604,4.21509,0.7271,68,0.83234,1.0,0.3804,2019,Myanmar,South-eastern Asia
132,Chad,Sub-Saharan Africa,4.3495,2.07803,0.47205,61,0.27523,0.35038,0.1726,2019,Chad,Middle Africa
133,Ukraine,Commonwealth of Independent States,4.3322,4.87103,0.85639,71,0.28197,0.33024,0.02155,2019,Ukraine,Eastern Europe
134,Ethiopia,Sub-Saharan Africa,4.2858,1.99761,0.63626,67,0.54516,0.36875,0.22145,2019,Ethiopia,Eastern Africa
135,Swaziland,Sub-Saharan Africa,4.2116,4.81445,0.70781,58,0.49639,0.13074,0.29752,2019,Eswatini,Southern Africa
136,Uganda,Sub-Saharan Africa,4.1894,1.97369,0.65864,66,0.56366,0.44562,0.13222,2019,Uganda,Eastern Africa
137,Egypt,Middle East and North Africa,4.1655,5.41849,0.63992,70,0.38183,0.13376,0.14763,2019,Egypt,Northern Africa
138,Zambia,Sub-Saharan Africa,4.1066,3.42973,0.65167,65,0.68203,0.43673,0.1912,2019,Zambia,Eastern Africa
139,Togo,Sub-Saharan Africa,4.0849,1.63448,0.35251,65,0.46411,0.31216,0.18844,2019,Togo,Western Africa
140,India,South Asia,4.0152,4.4826,0.47112,68,0.78838,0.35259,0.18714,2019,India,Southern Asia
141,Liberia,Sub-Saharan Africa,3.9753,0.43301,0.5678,66,0.58567,0.4121,0.07262,2019,Liberia,Western Africa
142,Comoros,Sub-Saharan Africa,3.9728,1.62986,0.46632,67,0.22438,0.48586,0.17252,2019,Comoros,Eastern Africa
143,Madagascar,Sub-Saharan Africa,3.9327,1.62744,0.56423,68,0.23413,0.29867,0.08949,2019,Madagascar,Eastern Africa
144,Lesotho,Sub-Saharan Africa,3.8019,2.90331,0.71999,61,0.56815,0.18977,0.20603,2019,Lesotho,Southern Africa
145,Burundi,Sub-Saharan Africa,3.7753,0.27209,0.27559,65,0.34837,0.31112,0.39844,2019,Burundi,Eastern Africa
146,Zimbabwe,Sub-Saharan Africa,3.6632,2.172,0.68611,66,0.57163,0.26697,0.19725,2019,Zimbabwe,Eastern Africa
147,Haiti,Latin America and Caribbean,3.5969,1.91754,0.42393,66,0.04096,0.74139,0.24352,2019,Haiti,Caribbean
148,Botswana,Sub-Saharan Africa,3.4884,6.18104,0.7054,68,0.7215,0.04417,0.22099,2019,Botswana,Southern Africa
149,Syria,Middle East and North Africa,3.4619,3.67412,0.23261,66,0.02031,0.58462,0.31105,2019,Syria,Western Asia
150,Malawi,Sub-Saharan Africa,3.4098,1.13398,0.34499,67,0.70246,0.38545,0.19701,2019,Malawi,Eastern Africa
151,Yemen,Middle East and North Africa,3.3798,1.70365,0.71608,66,0.22665,0.19169,0.17086,2019,Yemen,Western Asia
152,Rwanda,Sub-Saharan Africa,3.3338,2.13461,0.43793,69,0.87853,0.3829,0.90753,2019,Rwanda,Eastern Africa
153,Tanzania,Sub-Saharan Africa,3.2307,2.82558,0.54498,67,0.66084,0.4883,0.3251,2019,Tanzania,Eastern Africa
154,Afghanistan,South Asia,3.2033,2.07608,0.31842,64,0.0,0.27951,0.05495,2019,Afghanistan,Southern Asia
155,Central African Republic,Sub-Saharan Africa,3.083,0.15681,0.0,59,0.35688,0.41541,0.07791,2019,Central African Republic,Middle Africa
156,South Sudan,Sub-Saharan Africa,2.8526,1.81607,0.3541,63,0.01618,0.35715,0.19998,2019,South Sudan,Eastern Africa
1,Finland,Western Europe,7.8087,8.36344,0.96896,72,0.95535,0.28022,0.10373,2020,Finland,Northern Europe
2,Denmark,Western Europe,7.6456,8.63519,0.97149,72,0.95928,0.42609,0.07109,2020,Denmark,Northern Europe
3,Switzerland,Western Europe,7.5599,9.05054,0.95143,74,0.90723,0.47218,0.23486,2020,Switzerland,Western Europe
4,Iceland,Western Europe,7.5045,8.63228,1.0,73,0.95487,0.63587,0.7289,2020,Iceland,Northern Europe
5,Norway,Western Europe,7.488,9.2681,0.96614,73,0.96672,0.5054,0.1858,2020,Norway,Northern Europe
6,Netherlands,Western Europe,7.4489,8.71326,0.94577,72,0.88512,0.59022,0.30871,2020,Netherlands,Western Europe
7,Sweden,Western Europe,7.3535,8.60451,0.92619,73,0.93801,0.4788,0.17086,2020,Sweden,Northern Europe
8,New Zealand,North America and ANZ,7.2996,8.08445,0.961,73,0.93295,0.57164,0.13484,2020,New Zealand,Australia and New Zealand
9,Austria,Western Europe,7.2942,8.5723,0.92884,73,0.87032,0.44841,0.47248,2020,Austria,Western Europe
10,Luxembourg,Western Europe,7.2375,10.0,0.89659,73,0.88009,0.34389,0.31158,2020,Luxembourg,Western Europe
11,Canada,North America and ANZ,7.2321,8.47054,0.92751,74,0.92897,0.49407,0.34035,2020,Canada,Northern America
12,Australia,North America and ANZ,7.2228,8.52747,0.9545,74,0.89702,0.57032,0.3698,2020,Australia,Australia and New Zealand
13,United Kingdom,Western Europe,7.1645,8.28451,0.94202,72,0.75752,0.65536,0.39493,2020,United Kingdom,Northern Europe
14,Israel,Middle East and North Africa,7.1286,7.9162,0.90675,73,0.60683,0.46833,0.81263,2020,Israel,Western Asia
15,Costa Rica,Latin America and Caribbean,7.1214,6.38461,0.8884,71,0.9304,0.23037,0.81926,2020,Costa Rica,Central America
16,Ireland,Western Europe,7.0937,9.41569,0.95026,72,0.84784,0.51846,0.29959,2020,Ireland,Northern Europe
17,Germany,Western Europe,7.0758,8.55212,0.88432,72,0.81393,0.44232,0.41976,2020,Germany,Western Europe
18,United States,North America and ANZ,6.9396,8.94129,0.90774,68,0.77114,0.52323,0.71437,2020,United States,Northern America
19,Czech Republic,Central and Eastern Europe,6.9109,7.88925,0.90806,70,0.72951,0.0813,0.90659,2020,Czechia,Eastern Europe
20,Belgium,Western Europe,6.8635,8.43276,0.90379,72,0.72094,0.25792,0.60852,2020,Belgium,Western Europe
21,United Arab Emirates,Middle East and North Africa,6.7908,9.31287,0.80848,67,0.94182,0.49254,0.58697,2020,United Arab Emirates,Western Asia
22,Malta,Western Europe,6.7728,8.1508,0.9324,72,0.91341,0.59876,0.66452,2020,Malta,Southern Europe
23,France,Western Europe,6.6638,8.25242,0.94267,74,0.74149,0.19762,0.57367,2020,France,Western Europe
24,Mexico,Latin America and Caribbean,6.465,6.66626,0.79243,68,0.79896,0.14583,0.84407,2020,Mexico,Central America
25,Taiwan Province of China,East Asia,6.4554,8.63858,0.87735,70,0.64824,0.26429,0.75333,2020,Taiwan,Eastern Asia
26,Uruguay,Latin America and Caribbean,6.4401,6.96959,0.92085,69,0.85719,0.23191,0.63721,2020,Uruguay,South America
27,Saudi Arabia,Middle East and North Africa,6.4065,8.68321,0.84646,66,0.79115,0.15345,0.69367,2020,Saudi Arabia,Western Asia
28,Spain,Western Europe,6.4009,8.00777,0.91828,74,0.61446,0.2901,0.79447,2020,Spain,Southern Europe
29,Guatemala,Latin America and Caribbean,6.3989,4.9055,0.75878,65,0.88443,0.29942,0.81552,2020,Guatemala,Central America
30,Italy,Western Europe,6.3874,8.04591,0.87059,74,0.46346,0.29881,0.9247,2020,Italy,Southern Europe
31,Singapore,Southeast Asia,6.3771,9.88875,0.90171,77,0.91641,0.38393,0.0,2020,Singapore,South-eastern Asia
32,Brazil,Latin America and Caribbean,6.3756,6.19961,0.88104,66,0.69712,0.23108,0.80021,2020,Brazil,South America
33,Slovenia,Central and Eastern Europe,6.3634,7.86537,0.94644,71,0.93283,0.2557,0.85649,2020,Slovenia,Southern Europe
34,El Salvador,Latin America and Caribbean,6.3483,4.87377,0.74271,66,0.7559,0.20873,0.7805,2020,El Salvador,Central America
35,Kosovo,Central and Eastern Europe,6.3252,5.46948,0.76505,64,0.80384,0.57087,0.98395,2020,Kosovo,Southern Europe
36,Panama,Latin America and Caribbean,6.3048,7.14313,0.88923,70,0.8364,0.17059,0.89829,2020,Panama,Central America
37,Slovakia,Central and Eastern Europe,6.2806,7.77547,0.92037,69,0.61093,0.20486,0.97882,2020,Slovakia,Eastern Europe
38,Uzbekistan,Commonwealth of Independent States,6.2576,4.53351,0.92663,65,1.0,0.6376,0.47434,2020,Uzbekistan,Central Asia
39,Chile,Latin America and Caribbean,6.2285,7.13874,0.85508,70,0.60219,0.27303,0.88212,2020,Chile,South America
40,Bahrain,Middle East and North Africa,6.2273,8.43829,0.84993,69,0.88046,0.50447,0.76237,2020,Bahrain,Western Asia
41,Lithuania,Western Europe,6.2155,7.76715,0.92588,67,0.60649,0.09423,0.84742,2020,Lithuania,Northern Europe
42,Trinidad and Tobago,Latin America and Caribbean,6.1919,7.59849,0.90938,64,0.79757,0.34987,0.97172,2020,Trinidad and Tobago,Caribbean
43,Poland,Central and Eastern Europe,6.1863,7.60882,0.84675,69,0.80474,0.11122,0.69889,2020,Poland,Eastern Europe
44,Colombia,Latin America and Caribbean,6.1634,6.06636,0.86229,68,0.76001,0.16211,0.91401,2020,Colombia,South America
45,Cyprus,Western Europe,6.159,7.89236,0.74257,74,0.66264,0.40001,0.90396,2020,Cyprus,Western Asia
46,Nicaragua,Latin America and Caribbean,6.1371,4.0349,0.82117,68,0.80793,0.37358,0.67349,2020,Nicaragua,Central America
47,Romania,Central and Eastern Europe,6.1237,7.29107,0.77182,67,0.77149,0.11966,0.99844,2020,Romania,Eastern Europe
48,Kuwait,Middle East and North Africa,6.1021,9.27218,0.80435,67,0.82257,0.23297,0.7884,2020,Kuwait,Western Asia
49,Mauritius,Sub-Saharan Africa,6.1013,6.98692,0.90185,66,0.85225,0.32799,0.84228,2020,Mauritius,Eastern Africa
50,Kazakhstan,Commonwealth of Independent States,6.0579,7.30534,0.93907,65,0.71752,0.26976,0.79281,2020,Kazakhstan,Central Asia
51,Estonia,Western Europe,6.0218,7.75987,0.93904,69,0.8318,0.21961,0.62157,2020,Estonia,Northern Europe
52,Philippines,Southeast Asia,6.006,5.04414,0.80474,62,0.89707,0.22685,0.75545,2020,Philippines,South-eastern Asia
53,Hungary,Central and Eastern Europe,6.0004,7.57679,0.91951,68,0.55736,0.12371,0.94833,2020,Hungary,Eastern Europe
54,Thailand,Southeast Asia,5.9988,6.5533,0.87073,67,0.87909,0.66111,0.94028,2020,Thailand,South-eastern Asia
55,Argentina,Latin America and Caribbean,5.9747,6.69279,0.8869,69,0.75128,0.12302,0.88669,2020,Argentina,South America
56,Honduras,Latin America and Caribbean,5.9532,3.89649,0.76679,67,0.81952,0.4502,0.83718,2020,Honduras,Central America
57,Latvia,Western Europe,5.95,7.42769,0.91395,67,0.47485,0.13234,0.83046,2020,Latvia,Northern Europe
58,Ecuador,Latin America and Caribbean,5.9252,5.55344,0.789,69,0.80089,0.20183,0.83729,2020,Ecuador,South America
59,Portugal,Western Europe,5.9109,7.60603,0.86557,72,0.85089,0.09308,0.94798,2020,Portugal,Southern Europe
60,Jamaica,Latin America and Caribbean,5.8898,5.06976,0.91,67,0.79785,0.20405,0.94345,2020,Jamaica,Caribbean
61,South Korea,East Asia,5.8724,8.10386,0.73248,74,0.37411,0.29888,0.82258,2020,South Korea,Eastern Asia
62,Japan,East Asia,5.8708,8.24327,0.86092,75,0.71468,0.06267,0.65969,2020,Japan,Eastern Asia
63,Peru,Latin America and Caribbean,5.7968,5.97751,0.78084,68,0.74027,0.16078,0.9493,2020,Peru,South America
64,Serbia,Central and Eastern Europe,5.7782,6.43064,0.85776,68,0.57038,0.26374,0.8885,2020,Serbia,Southern Europe
65,Bolivia,Latin America and Caribbean,5.7475,4.75687,0.73816,64,0.82863,0.24284,0.86319,2020,Bolivia,South America
66,Pakistan,South Asia,5.6933,4.01385,0.5641,58,0.5848,0.40137,0.77007,2020,Pakistan,Southern Asia
67,Paraguay,Latin America and Caribbean,5.6921,5.84372,0.8841,66,0.846,0.35854,0.87794,2020,Paraguay,South America
68,Dominican Republic,Latin America and Caribbean,5.6892,6.39817,0.8587,66,0.81191,0.1969,0.78253,2020,Dominican Republic,Caribbean
69,Bosnia and Herzegovina,Central and Eastern Europe,5.6741,5.97651,0.77799,68,0.44047,0.46332,0.9978,2020,Bosnia and Herzegovina,Southern Europe
70,Moldova,Central and Eastern Europe,5.6075,4.60681,0.79952,65,0.56193,0.30545,0.97303,2020,Moldova,Eastern Europe
71,Tajikistan,Commonwealth of Independent States,5.5557,3.09027,0.78729,64,0.75171,0.32013,0.58403,2020,Tajikistan,Central Asia
72,Montenegro,Central and Eastern Europe,5.5461,6.5736,0.81784,69,0.43738,0.26151,0.81537,2020,Montenegro,Southern Europe
73,Russia,Commonwealth of Independent States,5.546,7.33401,0.89085,64,0.57625,0.17381,0.91429,2020,Russia,Eastern Europe
74,Kyrgyzstan,Commonwealth of Independent States,5.5415,3.33955,0.86654,64,0.88655,0.52889,0.94286,2020,Kyrgyzstan,Central Asia
75,Belarus,Commonwealth of Independent States,5.5399,6.63025,0.89634,66,0.4194,0.15783,0.63687,2020,Belarus,Eastern Europe
77,Greece,Middle East and North Africa,5.515,7.34098,0.75536,72,0.25029,0.0,0.90839,2020,Greece,Southern Europe
78,Hong Kong S.A.R. of China,East Asia,5.5104,8.95925,0.80357,77,0.66259,0.50592,0.37639,2020,Hong Kong,Eastern Asia
79,Croatia,Central and Eastern Europe,5.5047,7.21703,0.84731,70,0.55023,0.20006,0.97688,2020,Croatia,Southern Europe
80,Libya,Middle East and North Africa,5.4888,6.65016,0.77301,62,0.65105,0.25053,0.67691,2020,Libya,Northern Africa
81,Mongolia,East Asia,5.4562,5.88851,0.94273,62,0.51308,0.46311,0.91272,2020,Mongolia,Eastern Asia
82,Malaysia,Southeast Asia,5.3843,7.60356,0.75861,67,0.86105,0.48241,0.88341,2020,Malaysia,South-eastern Asia
83,Vietnam,Southeast Asia,5.3535,4.67302,0.80971,68,0.93879,0.23953,0.83148,2020,Vietnam,South-eastern Asia
84,Indonesia,Southeast Asia,5.2856,5.80292,0.7462,62,0.81954,0.95232,0.9282,2020,Indonesia,South-eastern Asia
85,Ivory Coast,Sub-Saharan Africa,5.2333,3.49517,0.51676,50,0.57282,0.29819,0.82464,2020,Côte d'Ivoire,Western Africa
86,Benin,Sub-Saharan Africa,5.216,2.38336,0.22773,54,0.5854,0.34515,0.7638,2020,Benin,Western Africa
87,Maldives,Southeast Asia,5.1976,6.1032,0.90612,71,0.79075,0.39346,0.86513,2020,Maldives,Southern Asia
88,Congo (Brazzaville),Sub-Saharan Africa,5.1944,4.12329,0.48957,58,0.55752,0.20571,0.77742,2020,Congo Republic,Middle Africa
89,Azerbaijan,Commonwealth of Independent States,5.1648,6.44425,0.76288,66,0.67468,0.0704,0.53615,2020,Azerbaijan,Western Asia
90,Macedonia,Central and Eastern Europe,5.1598,6.08698,0.76454,68,0.59172,0.32618,0.95387,2020,North Macedonia,Southern Europe
91,Ghana,Sub-Saharan Africa,5.148,3.74746,0.62444,57,0.68846,0.45856,0.8939,2020,Ghana,Western Africa
92,Nepal,South Asia,5.1372,2.88968,0.7113,64,0.69325,0.52819,0.76086,2020,Nepal,Southern Asia
93,Turkey,Middle East and North Africa,5.1318,7.33511,0.77357,67,0.36696,0.15073,0.77308,2020,Türkiye,Western Asia
94,China,East Asia,5.1239,6.44595,0.73152,69,0.86778,0.13868,0.78008,2020,China,Eastern Asia
95,Turkmenistan,Commonwealth of Independent States,5.1191,6.56588,0.97603,62,0.7432,0.56708,0.93716,2020,Turkmenistan,Central Asia
96,Bulgaria,Central and Eastern Europe,5.1015,6.81051,0.94379,67,0.60268,0.18222,1.0,2020,Bulgaria,Eastern Europe
97,Morocco,Middle East and North Africa,5.0948,4.93677,0.41692,66,0.64918,0.07026,0.85486,2020,Morocco,Northern Africa
98,Cameroon,Sub-Saharan Africa,5.0849,3.27953,0.58138,53,0.63358,0.34752,0.89798,2020,Cameroon,Middle Africa
99,Venezuela,Latin America and Caribbean,5.0532,5.01237,0.8714,67,0.39194,0.153,0.88067,2020,Venezuela,South America
100,Algeria,Middle East and North Africa,5.0051,6.14219,0.73858,66,0.12108,0.20869,0.75769,2020,Algeria,Northern Africa
101,Senegal,Sub-Saharan Africa,4.9808,3.28021,0.61683,60,0.50832,0.28851,0.84645,2020,Senegal,Western Africa
102,Guinea,Sub-Saharan Africa,4.9493,2.538,0.48551,54,0.53641,0.43785,0.78955,2020,Guinea,Western Africa
103,Niger,Sub-Saharan Africa,4.9096,0.70497,0.45478,54,0.62791,0.36534,0.742,2020,Niger,Western Africa
104,Laos,East Asia,4.8886,4.65091,0.63803,59,0.88281,0.47852,0.63562,2020,Laos,South-eastern Asia
105,Albania,Central and Eastern Europe,4.8827,5.90009,0.53664,69,0.66633,0.30015,0.95243,2020,Albania,Southern Europe
106,Cambodia,Southeast Asia,4.8484,3.54424,0.69233,62,0.97356,0.40951,0.86339,2020,Cambodia,South-eastern Asia
107,Bangladesh,South Asia,4.8328,3.61922,0.5614,65,0.87142,0.31018,0.66851,2020,Bangladesh,Southern Asia
108,Gabon,Sub-Saharan Africa,4.8293,6.42975,0.71493,60,0.53292,0.09128,0.89533,2020,Gabon,Middle Africa
109,South Africa,Sub-Saharan Africa,4.8141,5.87073,0.81359,57,0.62715,0.22184,0.8884,2020,South Africa,Southern Africa
110,Iraq,Middle East and North Africa,4.7848,6.39054,0.65358,60,0.40906,0.26851,0.86277,2020,Iraq,Western Asia
111,Lebanon,Middle East and North Africa,4.7715,5.78673,0.77056,67,0.2676,0.2782,0.95964,2020,Lebanon,Western Asia
112,Burkina Faso,Sub-Saharan Africa,4.7687,1.96832,0.60055,54,0.46504,0.32711,0.76291,2020,Burkina Faso,Western Africa
113,Gambia,Sub-Saharan Africa,4.7506,1.67238,0.57037,55,0.58191,0.74759,0.70348,2020,Gambia,Western Africa
114,Mali,Sub-Saharan Africa,4.7293,2.29367,0.62882,52,0.54457,0.29776,0.88344,2020,Mali,Western Africa
115,Nigeria,Sub-Saharan Africa,4.7241,4.20324,0.63759,50,0.62758,0.38842,0.91074,2020,Nigeria,Western Africa
116,Armenia,Commonwealth of Independent States,4.6768,5.25981,0.66852,67,0.54535,0.18818,0.80378,2020,Armenia,Western Asia
117,Georgia,Commonwealth of Independent States,4.6726,5.51319,0.47248,64,0.7003,0.08355,0.67348,2020,Georgia,Western Asia
118,Iran,Middle East and North Africa,4.6724,6.69837,0.57269,66,0.43446,0.48609,0.73244,2020,Iran,Southern Asia
119,Jordan,Middle East and North Africa,4.6334,5.10959,0.73672,67,0.61283,0.16057,0.71514,2020,Jordan,Western Asia
120,Mozambique,Sub-Saharan Africa,4.6236,1.16317,0.61723,54,0.80888,0.38683,0.69416,2020,Mozambique,Eastern Africa
121,Kenya,Sub-Saharan Africa,4.583,3.10029,0.58484,60,0.74889,0.69128,0.87396,2020,Kenya,Eastern Africa
122,Namibia,Sub-Saharan Africa,4.5711,5.46688,0.80497,57,0.64131,0.13417,0.89812,2020,Namibia,Southern Africa
123,Ukraine,Commonwealth of Independent States,4.5607,5.07872,0.8538,65,0.46075,0.31335,0.9819,2020,Ukraine,Eastern Europe
124,Liberia,Sub-Saharan Africa,4.5579,1.13298,0.59496,56,0.58555,0.39832,0.90408,2020,Liberia,Western Africa
125,Palestinian Territories,Middle East and North Africa,4.5528,3.82526,0.77202,62,0.43086,0.16113,0.86512,2020,Palestine,Western Asia
126,Uganda,Sub-Saharan Africa,4.432,2.03255,0.67999,56,0.5794,0.46473,0.8803,2020,Uganda,Eastern Africa
127,Chad,Sub-Saharan Africa,4.4227,1.96715,0.4776,48,0.32974,0.36995,0.83916,2020,Chad,Middle Africa
128,Tunisia,Middle East and North Africa,4.3922,5.69243,0.56357,67,0.34021,0.09807,0.91766,2020,Tunisia,Northern Africa
129,Mauritania,Middle East and North Africa,4.3746,3.51203,0.7194,57,0.26788,0.22621,0.77069,2020,Mauritania,Western Africa
130,Sri Lanka,South Asia,4.327,5.8437,0.77214,67,0.76252,0.44342,0.90726,2020,Sri Lanka,Southern Asia
131,Congo (Kinshasa),Sub-Saharan Africa,4.311,0.40664,0.5383,53,0.52595,0.44633,0.8472,2020,DR Congo,Middle Africa
132,Swaziland,Sub-Saharan Africa,4.3081,5.38526,0.68807,51,0.43264,0.11805,0.72473,2020,Eswatini,Southern Africa
133,Myanmar,Southeast Asia,4.308,4.41271,0.70962,59,0.86183,1.0,0.64827,2020,Myanmar,South-eastern Asia
134,Comoros,Sub-Saharan Africa,4.2886,2.70467,0.46734,57,0.26112,0.45372,0.81235,2020,Comoros,Eastern Africa
135,Togo,Sub-Saharan Africa,4.1872,1.74478,0.35386,55,0.43784,0.35235,0.78463,2020,Togo,Western Africa
136,Ethiopia,Sub-Saharan Africa,4.1862,2.0507,0.64689,59,0.5951,0.3996,0.77973,2020,Ethiopia,Eastern Africa
137,Madagascar,Sub-Saharan Africa,4.1656,1.59144,0.53225,59,0.27834,0.33553,0.85699,2020,Madagascar,Eastern Africa
138,Egypt,Middle East and North Africa,4.1514,5.6956,0.63489,62,0.53902,0.12074,0.82095,2020,Egypt,Northern Africa
139,Sierra Leone,Sub-Saharan Africa,3.9264,1.56546,0.48333,51,0.55105,0.45216,0.91008,2020,Sierra Leone,Western Africa
140,Burundi,Sub-Saharan Africa,3.7753,0.0,0.26078,53,0.39725,0.32888,0.60202,2020,Burundi,Eastern Africa
