Ranking,Country,Regional indicator,Happiness score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Year,Country_Standardized,Region_Standardized
149,Liberia,Sub-Saharan Africa,3.4954,0.45922,0.04592,59,0.57819,0.34407,0.0657,2018,Liberia,Western Africa
70,Libya,Middle East and North Africa,5.5657,5.97401,0.5974,65,0.68453,0.19333,0.32432,2018,Libya,Northern Africa
50,Lithuania,Western Europe,5.9519,7.25776,0.72578,69,0.48291,0.04378,0.01391,2018,Lithuania,Northern Europe
17,Luxembourg,Western Europe,6.9099,9.55748,0.95575,73,0.87238,0.32808,0.70243,2018,Luxembourg,Western Europe
89,Macedonia,Central and Eastern Europe,5.1848,5.81755,0.58176,68,0.54451,0.28988,0.1148,2018,North Macedonia,Southern Europe
143,Madagascar,Sub-Saharan Africa,3.7736,1.59086,0.15909,62,0.30514,0.25867,0.10621,2018,Madagascar,Eastern Africa
147,Malawi,Sub-Saharan Africa,3.5868,1.12839,0.11284,60,0.73231,0.35196,0.17561,2018,Malawi,Eastern Africa
35,Malaysia,Southeast Asia,6.3221,7.04231,0.70423,68,0.4916,0.52117,0.12945,2018,Malaysia,South-eastern Asia
118,Mali,Sub-Saharan Africa,4.447,2.24252,0.22425,56,0.50698,0.23319,0.12232,2018,Mali,Western Africa
22,Malta,Western Europe,6.6266,7.7026,0.77026,72,0.89076,0.62889,0.31128,2018,Malta,Southern Europe
126,Mauritania,Middle East and North Africa,4.3555,3.37786,0.33779,59,0.17742,0.22454,0.20422,2018,Mauritania,Western Africa
55,Mauritius,Sub-Saharan Africa,5.8915,6.6107,0.66107,68,0.80596,0.41003,0.10917,2018,Mauritius,Eastern Africa
24,Mexico,Latin America and Caribbean,6.4882,6.29594,0.62959,70,0.66142,0.11494,0.20724,2018,Mexico,Central America
67,Moldova,Central and Eastern Europe,5.6397,3.98173,0.39817,67,0.32046,0.28607,0.00071,2018,Moldova,Eastern Europe
94,Mongolia,East Asia,5.1246,5.54363,0.55436,66,0.5454,0.42312,0.0694,2018,Mongolia,Eastern Asia
81,Montenegro,Central and Eastern Europe,5.3475,6.16886,0.61689,69,0.35787,0.18644,0.17823,2018,Montenegro,Southern Europe
85,Morocco,Middle East and North Africa,5.2537,4.72266,0.47227,68,0.6351,0.04417,0.1625,2018,Morocco,Northern Africa
123,Mozambique,Sub-Saharan Africa,4.4166,1.20071,0.12007,57,0.73276,0.34411,0.34628,2018,Mozambique,Eastern Africa
130,Myanmar,Southeast Asia,4.3078,4.13651,0.41365,62,0.80008,1.0,0.38965,2018,Myanmar,South-eastern Asia
119,Namibia,Sub-Saharan Africa,4.4413,5.29893,0.52989,61,0.71678,0.08472,0.14045,2018,Namibia,Southern Africa
101,Nepal,South Asia,4.8804,2.57953,0.25795,65,0.72622,0.50541,0.17043,2018,Nepal,Southern Asia
6,Netherlands,Western Europe,7.4413,8.25267,0.82527,72,0.88072,0.55786,0.64467,2018,Netherlands,Western Europe
8,New Zealand,North America and ANZ,7.3238,7.68935,0.76894,72,0.92324,0.61109,0.85091,2018,New Zealand,Australia and New Zealand
41,Nicaragua,Latin America and Caribbean,6.141,4.05262,0.40526,68,0.72707,0.34752,0.28115,2018,Nicaragua,Central America
134,Niger,Sub-Saharan Africa,4.1655,0.79653,0.07965,58,0.53802,0.29345,0.21643,2018,Niger,Western Africa
91,Nigeria,Sub-Saharan Africa,5.1554,4.17888,0.41789,54,0.6375,0.33643,0.06948,2018,Nigeria,Western Africa
2,Norway,Western Europe,7.5937,8.82704,0.8827,72,0.94747,0.478,0.74335,2018,Norway,Northern Europe
75,Pakistan,South Asia,5.4725,3.95645,0.39565,62,0.4615,0.3616,0.24792,2018,Pakistan,Southern Asia
104,Palestinian Territories,Middle East and North Africa,4.7433,3.89563,0.38956,66,0.36738,0.14384,0.16731,2018,Palestine,Western Asia
27,Panama,Latin America and Caribbean,6.43,6.74448,0.67445,70,0.82386,0.20836,0.13806,2018,Panama,Central America
64,Paraguay,Latin America and Caribbean,5.6806,5.06096,0.5061,66,0.74611,0.27112,0.16204,2018,Paraguay,South America
65,Peru,Latin America and Caribbean,5.6632,5.66092,0.56609,68,0.73153,0.15321,0.07477,2018,Peru,South America
71,Philippines,Southeast Asia,5.5241,4.70173,0.47017,64,0.88732,0.20069,0.23016,2018,Philippines,South-eastern Asia
42,Poland,Central and Eastern Europe,6.123,7.12858,0.71286,70,0.75327,0.18002,0.13975,2018,Poland,Eastern Europe
77,Portugal,Western Europe,5.4104,7.20119,0.72012,72,0.77578,0.09189,0.03637,2018,Portugal,Southern Europe
32,Qatar,Middle East and North Africa,6.3745,10.0,1.0,69,0.90279,0.42923,0.37321,2018,Qatar,Western Asia
52,Romania,Central and Eastern Europe,5.9452,6.76524,0.67652,69,0.72814,0.14652,0.00151,2018,Romania,Eastern Europe
59,Russia,Commonwealth of Independent States,5.8097,6.98035,0.69803,66,0.55114,0.10887,0.05552,2018,Russia,Eastern Europe
151,Rwanda,Sub-Saharan Africa,3.4081,2.01526,0.20153,62,0.87775,0.3342,0.97269,2018,Rwanda,Eastern Africa
33,Saudi Arabia,Middle East and North Africa,6.3709,8.36094,0.83609,67,0.70251,0.16457,0.27756,2018,Saudi Arabia,Western Asia
